,id,instrument,instrument_id,k,currency,currency_base,Cashflow,Cashflow_Type,Maturity_Amount,Face_value,curve,current_date,Cash_flow_Dates,holiday,Actual_Cash_flow_date,maturity_date,frequency,residual_maturity_expected,residual_maturity_Actual,lower_tenor,upper_tenor,lower_tenor_val,upper_tenor_val,lower_maturity,upper_maturity,split_curve,accounting_book,accounting_portfolio,mark_up_value,intbasis,key,c_date,m_date_E,m_date_A,lower_tenor_key,upper_tenor_key,lower_rates,upper_rates,Interpolated_rates,spread_rates,YTM,maturity_period_E,maturity_period_A,no_of_days_in_a_year,cashflow_mtm,variable,value,interpolated_curve_rates,spreads_all,env,all_mtm
3127,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,115,6.3508633738599665,5.117032967032967,1.233830406827,115,4872.599932830799
3128,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,116,6.254420272170231,5.130769230769231,1.123651041401,116,4874.453332350456
3129,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,117,6.2794442865722635,5.143736263736264,1.135708022836,117,4873.9722029582435
3130,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,118,6.346722582140265,5.073736263736264,1.272986318404,118,4872.679459663533
3131,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,119,6.179664066792044,5.043956043956044,1.135708022836,119,4875.89160628716
3132,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,120,6.453905785234374,5.123626373626374,1.330279411608,120,4870.6223446332415
3133,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,121,6.381961495869858,5.117142857142857,1.264818638727,121,4872.00281180475
3134,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,122,6.3981751334764505,5.120549450549451,1.277625682927,122,4871.6915888656
3135,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,123,6.247497195247154,5.123846153846154,1.123651041401,123,4874.586468721149
3136,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,124,6.346626496852263,5.113736263736263,1.232890233116,124,4872.681305101595
